,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,LinkWeight
4796,9,13,120,104,Thrusday,10,0.577
4797,10,11,130,111,Thrusday,10,0.586
4798,10,13,50,46,Thrusday,10,0.543
4799,11,12,100,82,Thrusday,10,0.610
4800,0,1,50,36,Thrusday,12,0.694
4801,0,2,130,127,Thrusday,12,0.512
4802,0,3,80,73,Thrusday,12,0.548
4803,1,2,50,38,Thrusday,12,0.658
4804,1,7,140,134,Thrusday,12,0.522
4805,2,5,100,95,Thrusday,12,0.526
4806,3,4,130,97,Thrusday,12,0.670
4807,3,10,90,65,Thrusday,12,0.692
4808,4,5,100,82,Thrusday,12,0.610
4809,4,6,110,98,Thrusday,12,0.561
4810,5,8,120,100,Thrusday,12,0.600
4811,5,12,110,92,Thrusday,12,0.598
4812,6,7,60,54,Thrusday,12,0.556
4813,7,9,50,41,Thrusday,12,0.610
4814,8,9,120,86,Thrusday,12,0.698
4815,9,11,130,117,Thrusday,12,0.556
4816,9,13,60,48,Thrusday,12,0.625
4817,10,11,50,38,Thrusday,12,0.658
4818,10,13,130,101,Thrusday,12,0.644
4819,11,12,90,68,Thrusday,12,0.662
4820,0,1,60,58,Thrusday,14,0.517
4821,0,2,140,106,Thrusday,14,0.660
4822,0,3,60,42,Thrusday,14,0.714
4823,1,2,70,62,Thrusday,14,0.565
4824,1,7,130,95,Thrusday,14,0.684
4825,2,5,70,68,Thrusday,14,0.515
4826,3,4,70,60,Thrusday,14,0.583
4827,3,10,80,58,Thrusday,14,0.690
4828,4,5,90,88,Thrusday,14,0.511
4829,4,6,90,72,Thrusday,14,0.625
4830,5,8,110,86,Thrusday,14,0.640
4831,5,12,140,104,Thrusday,14,0.673
4832,6,7,50,39,Thrusday,14,0.641
4833,7,9,100,82,Thrusday,14,0.610
4834,8,9,90,74,Thrusday,14,0.608
4835,9,11,70,61,Thrusday,14,0.574
4836,9,13,80,59,Thrusday,14,0.678
4837,10,11,70,67,Thrusday,14,0.522
4838,10,13,110,109,Thrusday,14,0.505
4839,11,12,100,97,Thrusday,14,0.515
4840,0,1,140,108,Thrusday,16,0.648
4841,0,2,100,79,Thrusday,16,0.633
4842,0,3,100,73,Thrusday,16,0.685
4843,1,2,90,88,Thrusday,16,0.511
4844,1,7,70,65,Thrusday,16,0.538
4845,2,5,60,50,Thrusday,16,0.600
4846,3,4,60,48,Thrusday,16,0.625
4847,3,10,80,79,Thrusday,16,0.506
4848,4,5,100,77,Thrusday,16,0.649
4849,4,6,70,66,Thrusday,16,0.530
4850,5,8,50,36,Thrusday,16,0.694
4851,5,12,140,121,Thrusday,16,0.579
4852,6,7,60,44,Thrusday,16,0.682
4853,7,9,50,35,Thrusday,16,0.714
4854,8,9,120,119,Thrusday,16,0.504
4855,9,11,120,97,Thrusday,16,0.619
4856,9,13,80,68,Thrusday,16,0.588
4857,10,11,130,101,Thrusday,16,0.644
4858,10,13,60,42,Thrusday,16,0.714
4859,11,12,90,81,Thrusday,16,0.556
4860,0,1,140,112,Thrusday,18,0.625
4861,0,2,50,39,Thrusday,18,0.641
4862,0,3,80,57,Thrusday,18,0.702
4863,1,2,110,102,Thrusday,18,0.539
4864,1,7,50,44,Thrusday,18,0.568
4865,2,5,100,72,Thrusday,18,0.694
4866,3,4,120,115,Thrusday,18,0.522
4867,3,10,50,37,Thrusday,18,0.676
4868,4,5,60,45,Thrusday,18,0.667
4869,4,6,80,62,Thrusday,18,0.645
4870,5,8,90,67,Thrusday,18,0.672
4871,5,12,110,108,Thrusday,18,0.509
4872,6,7,80,73,Thrusday,18,0.548
4873,7,9,140,129,Thrusday,18,0.543
4874,8,9,120,115,Thrusday,18,0.522
4875,9,11,60,46,Thrusday,18,0.652
4876,9,13,90,66,Thrusday,18,0.682
4877,10,11,140,100,Thrusday,18,0.700
4878,10,13,80,72,Thrusday,18,0.556
4879,11,12,120,111,Thrusday,18,0.541
4880,0,1,80,55,Thrusday,20,0.727
4881,0,2,100,75,Thrusday,20,0.667
4882,0,3,130,68,Thrusday,20,0.956
4883,1,2,80,59,Thrusday,20,0.678
4884,1,7,110,70,Thrusday,20,0.786
4885,2,5,90,55,Thrusday,20,0.818
4886,3,4,120,71,Thrusday,20,0.845
4887,3,10,100,66,Thrusday,20,0.758
4888,4,5,90,62,Thrusday,20,0.726
4889,4,6,70,44,Thrusday,20,0.795
4890,5,8,110,64,Thrusday,20,0.859
4891,5,12,120,81,Thrusday,20,0.741
4892,6,7,90,47,Thrusday,20,0.957
4893,7,9,50,38,Thrusday,20,0.658
4894,8,9,70,49,Thrusday,20,0.714
4895,9,11,90,49,Thrusday,20,0.918
4896,9,13,60,43,Thrusday,20,0.698
4897,10,11,70,46,Thrusday,20,0.761
4898,10,13,110,78,Thrusday,20,0.705
4899,11,12,110,77,Thrusday,20,0.714
4900,0,1,140,76,Thrusday,22,0.921
4901,0,2,110,71,Thrusday,22,0.775
4902,0,3,60,32,Thrusday,22,0.938
4903,1,2,100,72,Thrusday,22,0.694
4904,1,7,130,102,Thrusday,22,0.637
4905,2,5,140,98,Thrusday,22,0.714
4906,3,4,130,99,Thrusday,22,0.657
4907,3,10,90,62,Thrusday,22,0.726
4908,4,5,70,55,Thrusday,22,0.636
4909,4,6,120,68,Thrusday,22,0.882
4910,5,8,80,54,Thrusday,22,0.741
4911,5,12,50,27,Thrusday,22,0.926
4912,6,7,70,36,Thrusday,22,0.972
4913,7,9,140,106,Thrusday,22,0.660
4914,8,9,70,47,Thrusday,22,0.745
4915,9,11,100,76,Thrusday,22,0.658
4916,9,13,110,86,Thrusday,22,0.640
4917,10,11,50,29,Thrusday,22,0.862
4918,10,13,130,87,Thrusday,22,0.747
4919,11,12,100,55,Thrusday,22,0.909
4920,0,1,90,50,Thrusday,24,0.900
4921,0,2,50,33,Thrusday,24,0.758
4922,0,3,100,50,Thrusday,24,1.000
4923,1,2,50,26,Thrusday,24,0.962
4924,1,7,50,28,Thrusday,24,0.893
4925,2,5,100,60,Thrusday,24,0.833
4926,3,4,140,85,Thrusday,24,0.824
4927,3,10,90,66,Thrusday,24,0.682
4928,4,5,50,28,Thrusday,24,0.893
4929,4,6,130,78,Thrusday,24,0.833
4930,5,8,130,85,Thrusday,24,0.765
4931,5,12,70,55,Thrusday,24,0.636
4932,6,7,100,69,Thrusday,24,0.725
4933,7,9,70,41,Thrusday,24,0.854
4934,8,9,110,75,Thrusday,24,0.733
4935,9,11,90,46,Thrusday,24,0.978
4936,9,13,130,91,Thrusday,24,0.714
4937,10,11,70,55,Thrusday,24,0.636
4938,10,13,90,71,Thrusday,24,0.634
4939,11,12,100,60,Thrusday,24,0.833
4940,0,1,130,70,Friday,0,0.929
4941,0,2,110,64,Friday,0,0.859
4942,0,3,70,46,Friday,0,0.761
4943,1,2,70,37,Friday,0,0.946
4944,1,7,100,63,Friday,0,0.794
4945,2,5,140,84,Friday,0,0.833
4946,3,4,140,93,Friday,0,0.753
4947,3,10,50,33,Friday,0,0.758
4948,4,5,110,67,Friday,0,0.821
4949,4,6,80,55,Friday,0,0.727
4950,5,8,100,52,Friday,0,0.962
4951,5,12,110,82,Friday,0,0.671
4952,6,7,110,74,Friday,0,0.743
4953,7,9,60,36,Friday,0,0.833
4954,8,9,50,29,Friday,0,0.862
4955,9,11,80,63,Friday,0,0.635
4956,9,13,100,52,Friday,0,0.962
4957,10,11,120,60,Friday,0,1.000
4958,10,13,140,90,Friday,0,0.778
4959,11,12,90,70,Friday,0,0.643
4960,0,1,60,31,Friday,2,0.968
4961,0,2,70,42,Friday,2,0.833
4962,0,3,120,74,Friday,2,0.811
4963,1,2,70,37,Friday,2,0.946
4964,1,7,50,29,Friday,2,0.862
4965,2,5,90,53,Friday,2,0.849
4966,3,4,140,73,Friday,2,0.959
4967,3,10,130,76,Friday,2,0.855
4968,4,5,120,67,Friday,2,0.896
4969,4,6,110,62,Friday,2,0.887
4970,5,8,140,110,Friday,2,0.636
4971,5,12,120,68,Friday,2,0.882
4972,6,7,80,60,Friday,2,0.667
4973,7,9,60,36,Friday,2,0.833
4974,8,9,90,50,Friday,2,0.900
4975,9,11,80,45,Friday,2,0.889
4976,9,13,80,57,Friday,2,0.702
4977,10,11,90,63,Friday,2,0.714
4978,10,13,140,91,Friday,2,0.769
4979,11,12,140,102,Friday,2,0.686
4980,0,1,90,53,Friday,4,0.849
4981,0,2,70,51,Friday,4,0.686
4982,0,3,120,71,Friday,4,0.845
4983,1,2,60,36,Friday,4,0.833
4984,1,7,130,67,Friday,4,0.970
4985,2,5,130,82,Friday,4,0.793
4986,3,4,130,88,Friday,4,0.739
4987,3,10,100,54,Friday,4,0.926
4988,4,5,130,101,Friday,4,0.644
4989,4,6,70,45,Friday,4,0.778
4990,5,8,70,47,Friday,4,0.745
4991,5,12,60,41,Friday,4,0.732
4992,6,7,50,33,Friday,4,0.758
4993,7,9,130,89,Friday,4,0.730
4994,8,9,100,71,Friday,4,0.704
4995,9,11,120,68,Friday,4,0.882
4996,9,13,100,57,Friday,4,0.877
4997,10,11,90,56,Friday,4,0.804
4998,10,13,140,95,Friday,4,0.737
4999,11,12,120,61,Friday,4,0.984
5000,0,1,100,74,Friday,6,0.676
5001,0,2,140,93,Friday,6,0.753
5002,0,3,70,52,Friday,6,0.673
5003,1,2,70,37,Friday,6,0.946
5004,1,7,120,91,Friday,6,0.659
5005,2,5,60,33,Friday,6,0.909
5006,3,4,140,83,Friday,6,0.843
5007,3,10,80,56,Friday,6,0.714
5008,4,5,140,76,Friday,6,0.921
5009,4,6,90,56,Friday,6,0.804
5010,5,8,140,85,Friday,6,0.824
5011,5,12,90,59,Friday,6,0.763
5012,6,7,140,85,Friday,6,0.824
5013,7,9,100,54,Friday,6,0.926
5014,8,9,130,65,Friday,6,1.000
5015,9,11,120,93,Friday,6,0.645
5016,9,13,140,80,Friday,6,0.875
5017,10,11,90,62,Friday,6,0.726
5018,10,13,80,46,Friday,6,0.870
5019,11,12,60,42,Friday,6,0.714
5020,0,1,60,38,Friday,8,0.789
5021,0,2,100,67,Friday,8,0.746
5022,0,3,70,40,Friday,8,0.875
5023,1,2,90,71,Friday,8,0.634
5024,1,7,110,68,Friday,8,0.809
5025,2,5,110,77,Friday,8,0.714
5026,3,4,120,94,Friday,8,0.638
5027,3,10,90,51,Friday,8,0.882
5028,4,5,90,67,Friday,8,0.672
5029,4,6,140,87,Friday,8,0.805
5030,5,8,110,65,Friday,8,0.846
5031,5,12,60,40,Friday,8,0.750
5032,6,7,140,79,Friday,8,0.886
5033,7,9,80,52,Friday,8,0.769
5034,8,9,130,83,Friday,8,0.783
5035,9,11,130,102,Friday,8,0.637
5036,9,13,60,30,Friday,8,1.000
5037,10,11,130,78,Friday,8,0.833
5038,10,13,50,33,Friday,8,0.758
5039,11,12,120,86,Friday,8,0.698
5040,0,1,90,78,Friday,10,0.577
5041,0,2,100,96,Friday,10,0.521
5042,0,3,80,77,Friday,10,0.519
5043,1,2,100,95,Friday,10,0.526
5044,1,7,90,69,Friday,10,0.652
5045,2,5,120,101,Friday,10,0.594
5046,3,4,80,70,Friday,10,0.571
5047,3,10,90,75,Friday,10,0.600
5048,4,5,120,102,Friday,10,0.588
5049,4,6,80,58,Friday,10,0.690
5050,5,8,120,92,Friday,10,0.652
5051,5,12,100,88,Friday,10,0.568
5052,6,7,70,59,Friday,10,0.593
5053,7,9,130,115,Friday,10,0.565
5054,8,9,70,49,Friday,10,0.714
5055,9,11,130,106,Friday,10,0.613
5056,9,13,70,49,Friday,10,0.714
5057,10,11,100,78,Friday,10,0.641
5058,10,13,110,105,Friday,10,0.524
5059,11,12,50,44,Friday,10,0.568
5060,0,1,110,107,Friday,12,0.514
5061,0,2,70,63,Friday,12,0.556
5062,0,3,100,94,Friday,12,0.532
5063,1,2,130,99,Friday,12,0.657
5064,1,7,60,42,Friday,12,0.714
5065,2,5,80,66,Friday,12,0.606
5066,3,4,120,84,Friday,12,0.714
5067,3,10,130,98,Friday,12,0.663
5068,4,5,70,52,Friday,12,0.673
5069,4,6,80,65,Friday,12,0.615
5070,5,8,110,95,Friday,12,0.579
5071,5,12,140,118,Friday,12,0.593
5072,6,7,120,112,Friday,12,0.536
5073,7,9,60,43,Friday,12,0.698
5074,8,9,80,74,Friday,12,0.541
5075,9,11,120,92,Friday,12,0.652
5076,9,13,80,79,Friday,12,0.506
5077,10,11,110,100,Friday,12,0.550
5078,10,13,70,54,Friday,12,0.648
5079,11,12,120,93,Friday,12,0.645
5080,0,1,130,117,Friday,14,0.556
5081,0,2,50,40,Friday,14,0.625
5082,0,3,50,40,Friday,14,0.625
5083,1,2,110,103,Friday,14,0.534
5084,1,7,120,111,Friday,14,0.541
5085,2,5,90,79,Friday,14,0.570
5086,3,4,130,100,Friday,14,0.650
5087,3,10,140,111,Friday,14,0.631
5088,4,5,100,90,Friday,14,0.556
5089,4,6,70,63,Friday,14,0.556
5090,5,8,140,113,Friday,14,0.619
5091,5,12,70,53,Friday,14,0.660
5092,6,7,90,66,Friday,14,0.682
5093,7,9,140,105,Friday,14,0.667
5094,8,9,90,74,Friday,14,0.608
5095,9,11,50,49,Friday,14,0.510
5096,9,13,50,45,Friday,14,0.556
5097,10,11,90,88,Friday,14,0.511
5098,10,13,130,95,Friday,14,0.684
5099,11,12,90,77,Friday,14,0.584
5100,0,1,70,51,Friday,16,0.686
5101,0,2,110,86,Friday,16,0.640
5102,0,3,90,77,Friday,16,0.584
5103,1,2,80,64,Friday,16,0.625
5104,1,7,80,70,Friday,16,0.571
5105,2,5,130,109,Friday,16,0.596
5106,3,4,80,77,Friday,16,0.519
5107,3,10,130,122,Friday,16,0.533
5108,4,5,70,53,Friday,16,0.660
5109,4,6,120,111,Friday,16,0.541
5110,5,8,140,133,Friday,16,0.526
5111,5,12,60,48,Friday,16,0.625
5112,6,7,70,55,Friday,16,0.636
5113,7,9,90,82,Friday,16,0.549
5114,8,9,130,106,Friday,16,0.613
5115,9,11,140,101,Friday,16,0.693
5116,9,13,110,97,Friday,16,0.567
5117,10,11,110,82,Friday,16,0.671
5118,10,13,120,105,Friday,16,0.571
5119,11,12,50,39,Friday,16,0.641
5120,0,1,70,66,Friday,18,0.530
5121,0,2,130,118,Friday,18,0.551
5122,0,3,90,65,Friday,18,0.692
5123,1,2,80,64,Friday,18,0.625
5124,1,7,130,120,Friday,18,0.542
5125,2,5,80,64,Friday,18,0.625
5126,3,4,100,94,Friday,18,0.532
5127,3,10,80,66,Friday,18,0.606
5128,4,5,70,61,Friday,18,0.574
5129,4,6,100,70,Friday,18,0.714
5130,5,8,120,98,Friday,18,0.612
5131,5,12,110,101,Friday,18,0.545
5132,6,7,100,79,Friday,18,0.633
5133,7,9,140,116,Friday,18,0.603
5134,8,9,50,48,Friday,18,0.521
5135,9,11,50,39,Friday,18,0.641
5136,9,13,110,102,Friday,18,0.539
5137,10,11,50,37,Friday,18,0.676
5138,10,13,60,46,Friday,18,0.652
5139,11,12,140,101,Friday,18,0.693
5140,0,1,110,63,Friday,20,0.873
5141,0,2,100,76,Friday,20,0.658
5142,0,3,130,73,Friday,20,0.890
5143,1,2,100,67,Friday,20,0.746
5144,1,7,100,56,Friday,20,0.893
5145,2,5,90,59,Friday,20,0.763
5146,3,4,110,60,Friday,20,0.917
5147,3,10,60,36,Friday,20,0.833
5148,4,5,90,51,Friday,20,0.882
5149,4,6,60,39,Friday,20,0.769
5150,5,8,70,37,Friday,20,0.946
5151,5,12,110,81,Friday,20,0.679
5152,6,7,120,79,Friday,20,0.759
5153,7,9,80,41,Friday,20,0.976
5154,8,9,120,92,Friday,20,0.652
5155,9,11,110,56,Friday,20,0.982
5156,9,13,110,86,Friday,20,0.640
5157,10,11,110,85,Friday,20,0.647
5158,10,13,120,68,Friday,20,0.882
5159,11,12,90,48,Friday,20,0.938
5160,0,1,90,53,Friday,22,0.849
5161,0,2,140,79,Friday,22,0.886
5162,0,3,80,46,Friday,22,0.870
5163,1,2,140,99,Friday,22,0.707
5164,1,7,100,73,Friday,22,0.685
5165,2,5,140,98,Friday,22,0.714
5166,3,4,100,62,Friday,22,0.806
5167,3,10,110,75,Friday,22,0.733
5168,4,5,80,59,Friday,22,0.678
5169,4,6,80,59,Friday,22,0.678
5170,5,8,70,39,Friday,22,0.897
5171,5,12,140,77,Friday,22,0.909
5172,6,7,90,66,Friday,22,0.682
5173,7,9,60,36,Friday,22,0.833
5174,8,9,80,49,Friday,22,0.816
5175,9,11,70,48,Friday,22,0.729
5176,9,13,50,32,Friday,22,0.781
5177,10,11,90,54,Friday,22,0.833
5178,10,13,140,70,Friday,22,1.000
5179,11,12,140,92,Friday,22,0.761
5180,0,1,100,70,Friday,24,0.714
5181,0,2,70,38,Friday,24,0.921
5182,0,3,60,33,Friday,24,0.909
5183,1,2,70,42,Friday,24,0.833
5184,1,7,120,62,Friday,24,0.968
5185,2,5,60,43,Friday,24,0.698
5186,3,4,130,81,Friday,24,0.802
5187,3,10,110,59,Friday,24,0.932
5188,4,5,60,39,Friday,24,0.769
5189,4,6,140,102,Friday,24,0.686
5190,5,8,140,95,Friday,24,0.737
5191,5,12,50,29,Friday,24,0.862
5192,6,7,70,52,Friday,24,0.673
5193,7,9,50,27,Friday,24,0.926
5194,8,9,80,50,Friday,24,0.800
5195,9,11,130,65,Friday,24,1.000
5196,9,13,110,72,Friday,24,0.764
5197,10,11,50,36,Friday,24,0.694
5198,10,13,80,55,Friday,24,0.727
5199,11,12,90,63,Friday,24,0.714
5200,0,1,100,17,Saturday,0,2.941
5201,0,2,70,24,Saturday,0,1.458
5202,0,3,140,36,Saturday,0,1.944
5203,1,2,50,9,Saturday,0,2.778
5204,1,7,60,13,Saturday,0,2.308
5205,2,5,130,26,Saturday,0,2.500
5206,3,4,50,14,Saturday,0,1.786
5207,3,10,140,53,Saturday,0,1.321
5208,4,5,50,14,Saturday,0,1.786
5209,4,6,60,7,Saturday,0,4.286
5210,5,8,80,8,Saturday,0,5.000
5211,5,12,110,23,Saturday,0,2.391
5212,6,7,100,20,Saturday,0,2.500
5213,7,9,60,7,Saturday,0,4.286
5214,8,9,110,41,Saturday,0,1.341
5215,9,11,60,13,Saturday,0,2.308
5216,9,13,120,24,Saturday,0,2.500
5217,10,11,130,36,Saturday,0,1.806
5218,10,13,120,30,Saturday,0,2.000
5219,11,12,120,37,Saturday,0,1.622
5220,0,1,130,32,Saturday,2,2.031
5221,0,2,60,7,Saturday,2,4.286
5222,0,3,90,20,Saturday,2,2.250
5223,1,2,70,8,Saturday,2,4.375
5224,1,7,80,21,Saturday,2,1.905
5225,2,5,110,35,Saturday,2,1.571
5226,3,4,70,21,Saturday,2,1.667
5227,3,10,110,22,Saturday,2,2.500
5228,4,5,110,25,Saturday,2,2.200
5229,4,6,60,13,Saturday,2,2.308
5230,5,8,50,14,Saturday,2,1.786
5231,5,12,60,8,Saturday,2,3.750
5232,6,7,140,19,Saturday,2,3.684
5233,7,9,130,31,Saturday,2,2.097
5234,8,9,110,18,Saturday,2,3.056
5235,9,11,140,50,Saturday,2,1.400
5236,9,13,80,26,Saturday,2,1.538
5237,10,11,100,20,Saturday,2,2.500
5238,10,13,100,27,Saturday,2,1.852
5239,11,12,70,16,Saturday,2,2.188
5240,0,1,70,21,Saturday,4,1.667
5241,0,2,70,19,Saturday,4,1.842
5242,0,3,50,19,Saturday,4,1.316
5243,1,2,80,16,Saturday,4,2.500
5244,1,7,90,33,Saturday,4,1.364
5245,2,5,100,25,Saturday,4,2.000
5246,3,4,120,14,Saturday,4,4.286
5247,3,10,50,11,Saturday,4,2.273
5248,4,5,90,23,Saturday,4,1.957
5249,4,6,100,28,Saturday,4,1.786
5250,5,8,70,25,Saturday,4,1.400
5251,5,12,90,15,Saturday,4,3.000
5252,6,7,50,8,Saturday,4,3.125
5253,7,9,50,9,Saturday,4,2.778
5254,8,9,130,29,Saturday,4,2.241
5255,9,11,60,21,Saturday,4,1.429
5256,9,13,130,51,Saturday,4,1.275
5257,10,11,50,11,Saturday,4,2.273
5258,10,13,70,19,Saturday,4,1.842
5259,11,12,120,32,Saturday,4,1.875
5260,0,1,80,15,Saturday,6,2.667
5261,0,2,100,16,Saturday,6,3.125
5262,0,3,80,13,Saturday,6,3.077
5263,1,2,50,9,Saturday,6,2.778
5264,1,7,110,35,Saturday,6,1.571
5265,2,5,120,42,Saturday,6,1.429
5266,3,4,120,34,Saturday,6,1.765
5267,3,10,70,11,Saturday,6,3.182
5268,4,5,60,9,Saturday,6,3.333
5269,4,6,100,28,Saturday,6,1.786
5270,5,8,110,30,Saturday,6,1.833
5271,5,12,110,18,Saturday,6,3.056
5272,6,7,110,43,Saturday,6,1.279
5273,7,9,50,6,Saturday,6,4.167
5274,8,9,120,14,Saturday,6,4.286
5275,9,11,60,7,Saturday,6,4.286
5276,9,13,130,50,Saturday,6,1.300
5277,10,11,90,10,Saturday,6,4.500
5278,10,13,90,9,Saturday,6,5.000
5279,11,12,110,39,Saturday,6,1.410
5280,0,1,100,28,Saturday,8,1.786
5281,0,2,80,15,Saturday,8,2.667
5282,0,3,60,11,Saturday,8,2.727
5283,1,2,60,7,Saturday,8,4.286
5284,1,7,80,11,Saturday,8,3.636
5285,2,5,50,10,Saturday,8,2.500
5286,3,4,60,18,Saturday,8,1.667
5287,3,10,140,32,Saturday,8,2.188
5288,4,5,130,30,Saturday,8,2.167
5289,4,6,60,12,Saturday,8,2.500
5290,5,8,100,32,Saturday,8,1.562
5291,5,12,50,10,Saturday,8,2.500
5292,6,7,140,27,Saturday,8,2.593
5293,7,9,60,12,Saturday,8,2.500
5294,8,9,130,32,Saturday,8,2.031
5295,9,11,90,19,Saturday,8,2.368
5296,9,13,120,28,Saturday,8,2.143
5297,10,11,130,41,Saturday,8,1.585
5298,10,13,140,43,Saturday,8,1.628
5299,11,12,80,19,Saturday,8,2.105
5300,0,1,120,50,Saturday,10,1.200
5301,0,2,120,64,Saturday,10,0.938
5302,0,3,70,26,Saturday,10,1.346
5303,1,2,130,72,Saturday,10,0.903
5304,1,7,70,32,Saturday,10,1.094
5305,2,5,90,50,Saturday,10,0.900
5306,3,4,80,40,Saturday,10,1.000
5307,3,10,140,83,Saturday,10,0.843
5308,4,5,70,29,Saturday,10,1.207
5309,4,6,50,28,Saturday,10,0.893
5310,5,8,120,39,Saturday,10,1.538
5311,5,12,50,18,Saturday,10,1.389
5312,6,7,130,43,Saturday,10,1.512
5313,7,9,70,38,Saturday,10,0.921
5314,8,9,140,61,Saturday,10,1.148
5315,9,11,100,51,Saturday,10,0.980
5316,9,13,140,51,Saturday,10,1.373
5317,10,11,120,63,Saturday,10,0.952
5318,10,13,70,28,Saturday,10,1.250
5319,11,12,130,67,Saturday,10,0.970
5320,0,1,100,49,Saturday,12,1.020
5321,0,2,100,30,Saturday,12,1.667
5322,0,3,70,41,Saturday,12,0.854
5323,1,2,130,43,Saturday,12,1.512
5324,1,7,50,18,Saturday,12,1.389
5325,2,5,90,39,Saturday,12,1.154
5326,3,4,80,37,Saturday,12,1.081
5327,3,10,60,29,Saturday,12,1.034
5328,4,5,140,59,Saturday,12,1.186
5329,4,6,50,16,Saturday,12,1.562
5330,5,8,60,32,Saturday,12,0.938
5331,5,12,110,61,Saturday,12,0.902
5332,6,7,110,53,Saturday,12,1.038
5333,7,9,80,27,Saturday,12,1.481
5334,8,9,130,69,Saturday,12,0.942
5335,9,11,90,43,Saturday,12,1.047
5336,9,13,80,35,Saturday,12,1.143
5337,10,11,90,39,Saturday,12,1.154
5338,10,13,50,29,Saturday,12,0.862
5339,11,12,60,31,Saturday,12,0.968
5340,0,1,80,32,Saturday,14,1.250
5341,0,2,130,73,Saturday,14,0.890
5342,0,3,70,30,Saturday,14,1.167
5343,1,2,100,50,Saturday,14,1.000
5344,1,7,120,47,Saturday,14,1.277
5345,2,5,90,53,Saturday,14,0.849
5346,3,4,110,45,Saturday,14,1.222
5347,3,10,80,43,Saturday,14,0.930
5348,4,5,90,35,Saturday,14,1.286
5349,4,6,100,43,Saturday,14,1.163
5350,5,8,130,51,Saturday,14,1.275
5351,5,12,80,34,Saturday,14,1.176
5352,6,7,50,28,Saturday,14,0.893
5353,7,9,60,24,Saturday,14,1.250
5354,8,9,110,58,Saturday,14,0.948
5355,9,11,110,35,Saturday,14,1.571
5356,9,13,60,34,Saturday,14,0.882
5357,10,11,130,43,Saturday,14,1.512
5358,10,13,120,61,Saturday,14,0.984
5359,11,12,50,23,Saturday,14,1.087
5360,0,1,60,23,Saturday,16,1.304
5361,0,2,140,51,Saturday,16,1.373
5362,0,3,140,71,Saturday,16,0.986
5363,1,2,60,35,Saturday,16,0.857
5364,1,7,90,27,Saturday,16,1.667
5365,2,5,80,27,Saturday,16,1.481
5366,3,4,60,32,Saturday,16,0.938
5367,3,10,70,37,Saturday,16,0.946
5368,4,5,60,21,Saturday,16,1.429
5369,4,6,110,59,Saturday,16,0.932
5370,5,8,130,39,Saturday,16,1.667
5371,5,12,50,25,Saturday,16,1.000
5372,6,7,120,61,Saturday,16,0.984
5373,7,9,60,27,Saturday,16,1.111
5374,8,9,100,47,Saturday,16,1.064
5375,9,11,100,38,Saturday,16,1.316
5376,9,13,60,35,Saturday,16,0.857
5377,10,11,140,59,Saturday,16,1.186
5378,10,13,140,51,Saturday,16,1.373
5379,11,12,90,36,Saturday,16,1.250
5380,0,1,140,80,Saturday,18,0.875
5381,0,2,100,36,Saturday,18,1.389
5382,0,3,140,50,Saturday,18,1.400
5383,1,2,120,68,Saturday,18,0.882
5384,1,7,110,51,Saturday,18,1.078
5385,2,5,50,18,Saturday,18,1.389
5386,3,4,100,40,Saturday,18,1.250
5387,3,10,130,63,Saturday,18,1.032
5388,4,5,80,34,Saturday,18,1.176
5389,4,6,140,80,Saturday,18,0.875
5390,5,8,110,48,Saturday,18,1.146
5391,5,12,110,55,Saturday,18,1.000
5392,6,7,90,37,Saturday,18,1.216
5393,7,9,50,26,Saturday,18,0.962
5394,8,9,120,44,Saturday,18,1.364
5395,9,11,50,16,Saturday,18,1.562
5396,9,13,90,46,Saturday,18,0.978
5397,10,11,110,33,Saturday,18,1.667
5398,10,13,50,16,Saturday,18,1.562
5399,11,12,60,18,Saturday,18,1.667
5400,0,1,60,20,Saturday,20,1.500
5401,0,2,110,16,Saturday,20,3.438
5402,0,3,100,16,Saturday,20,3.125
5403,1,2,140,31,Saturday,20,2.258
5404,1,7,80,14,Saturday,20,2.857
5405,2,5,110,37,Saturday,20,1.486
5406,3,4,80,14,Saturday,20,2.857
5407,3,10,60,22,Saturday,20,1.364
5408,4,5,70,8,Saturday,20,4.375
5409,4,6,100,16,Saturday,20,3.125
5410,5,8,100,31,Saturday,20,1.613
5411,5,12,80,19,Saturday,20,2.105
5412,6,7,90,31,Saturday,20,1.452
5413,7,9,70,10,Saturday,20,3.500
5414,8,9,110,20,Saturday,20,2.750
5415,9,11,50,13,Saturday,20,1.923
5416,9,13,130,27,Saturday,20,2.407
5417,10,11,110,24,Saturday,20,2.292
5418,10,13,100,10,Saturday,20,5.000
5419,11,12,70,26,Saturday,20,1.346
5420,0,1,70,15,Saturday,22,2.333
5421,0,2,100,17,Saturday,22,2.941
5422,0,3,100,22,Saturday,22,2.273
5423,1,2,80,20,Saturday,22,2.000
5424,1,7,90,22,Saturday,22,2.045
5425,2,5,60,21,Saturday,22,1.429
5426,3,4,130,38,Saturday,22,1.711
5427,3,10,80,16,Saturday,22,2.500
5428,4,5,70,16,Saturday,22,2.188
5429,4,6,80,15,Saturday,22,2.667
5430,5,8,50,19,Saturday,22,1.316
5431,5,12,130,27,Saturday,22,2.407
5432,6,7,120,33,Saturday,22,1.818
5433,7,9,100,31,Saturday,22,1.613
5434,8,9,80,15,Saturday,22,2.667
